Year,League,Series,Date,Winner Team,Winner,Loser Team,Loser,Favorite,Underdog
2018,NBA,Western Conf First Round,Apr 14 - Apr 24 2018,Golden State Warriors (2),4,San Antonio Spurs (7),1,GSW (-900),SAS (+600)
2018,NBA,Western Conf First Round,Apr 14 - Apr 21 2018,New Orleans Pelicans (6),4,Portland Trail Blazers (3),0,POR (-220),NOP (+180)
2018,NBA,Western Conf First Round,Apr 15 - Apr 27 2018,Utah Jazz (5),4,Oklahoma City Thunder (4),2,OKC (-140),UTA (+120)
2018,NBA,Western Conf Semifinals,Apr 28 - May 8 2018,Golden State Warriors (2),4,New Orleans Pelicans (6),1,GSW (-1050),NOP (+675)
2018,NBA,Western Conf Semifinals,Apr 29 - May 8 2018,Houston Rockets (1),4,Utah Jazz (5),1,HOU (-1500),UTA (+1000)
2018,NBA,Eastern Conf Semifinals,Apr 30 - May 9 2018,Boston Celtics (2),4,Philadelphia 76ers (3),1,PHI (-525),BOS (+415)
2018,NBA,Eastern Conf Semifinals,May 1 - May 7 2018,Cleveland Cavaliers (4),4,Toronto Raptors (1),0,TOR (-190),CLE (+165)
2018,NBA,Eastern Conf Finals,May 13 - May 27 2018,Cleveland Cavaliers (4),4,Boston Celtics (2),3,CLE (-275),BOS (+235)
2018,NBA,Western Conf Finals,May 14 - May 28 2018,Golden State Warriors (2),4,Houston Rockets (1),3,GSW (-200),HOU (+170)
2018,NBA,Finals,May 31 - Jun 8 2018,Golden State Warriors (2),4,Cleveland Cavaliers (4),0,GSW (-1075),CLE (+688)
2017,NBA,Eastern Conf First Round,Apr 16 - Apr 28 2017,Boston Celtics (1),4,Chicago Bulls (8),2,BOS (-470),CHI (+375)
2017,NBA,Eastern Conf First Round,Apr 15 - Apr 23 2017,Cleveland Cavaliers (2),4,Indiana Pacers (7),0,CLE (-1100),IND (+700)
2017,NBA,Eastern Conf First Round,Apr 15 - Apr 27 2017,Toronto Raptors (3),4,Milwaukee Bucks (6),2,TOR (-440),MIL (+350)
2017,NBA,Eastern Conf First Round,Apr 16 - Apr 28 2017,Washington Wizards (4),4,Atlanta Hawks (5),2,WAS (-220),ATL (+180)
2017,NBA,Western Conf First Round,Apr 16 - Apr 24 2017,Golden State Warriors (1),4,Portland Trail Blazers (8),0,GSW (-7000),POR (+3000)
2017,NBA,Western Conf First Round,Apr 15 - Apr 27 2017,San Antonio Spurs (2),4,Memphis Grizzlies (7),2,SAS (-1070),MEM (+685)
2017,NBA,Western Conf First Round,Apr 16 - Apr 25 2017,Houston Rockets (3),4,Oklahoma City Thunder (6),1,HOU (-390),OKC (+320)
2017,NBA,Western Conf First Round,Apr 15 - Apr 30 2017,Utah Jazz (5),4,Los Angeles Clippers (4),3,LAC (-245),UTA (+205)
2017,NBA,Eastern Conf Semifinals,May 1 - May 7 2017,Cleveland Cavaliers (2),4,Toronto Raptors (3),0,CLE (-475),TOR (+380)
2017,NBA,Eastern Conf Semifinals,Apr 30 - May 15 2017,Boston Celtics (1),4,Washington Wizards (4),3,BOS (-185),WAS (+160)
2017,NBA,Western Conf Semifinals,May 2 - May 8 2017,Golden State Warriors (1),4,Utah Jazz (5),0,GSW (-3200),UTA (+1600)
2017,NBA,Western Conf Semifinals,May 1 - May 11 2017,San Antonio Spurs (2),4,Houston Rockets (3),2,SAS (-300),HOU (+250)
2017,NBA,Western Conf Finals,May 14 - May 22 2017,Golden State Warriors (1),4,San Antonio Spurs (2),0,GSW (-1050),SAS (+675)
2017,NBA,Eastern Conf Finals,May 17 - May 25 2017,Cleveland Cavaliers (2),4,Boston Celtics (1),1,CLE (-700),BOS (+500)
2017,NBA,Finals,Jun 1 - Jun 12 2017,Golden State Warriors (1),4,Cleveland Cavaliers (2),1,GSW (-300),CLE (+250)
2016,NBA,Eastern Conf First Round,Apr 17 - Apr 24 2016,Cleveland Cavaliers (1),4,Detroit Pistons (8),0,CLE (-1700),DET (+1100)
2016,NBA,Eastern Conf First Round,Apr 16 - May 1 2016,Toronto Raptors (2),4,Indiana Pacers (7),3,TOR (-400),IND (+325)
2016,NBA,Eastern Conf First Round,Apr 17 - May 1 2016,Miami Heat (3),4,Charlotte Hornets (6),3,MIA (-170),CHO (+150)
2016,NBA,Eastern Conf First Round,Apr 16 - Apr 28 2016,Atlanta Hawks (4),4,Boston Celtics (5),2,ATL (-165),BOS (+145)
2016,NBA,Western Conf First Round,Apr 16 - Apr 27 2016,Golden State Warriors (1),4,Houston Rockets (8),1,GSW (-10000),HOU (+4000)
2016,NBA,Western Conf First Round,Apr 17 - Apr 24 2016,San Antonio Spurs (2),4,Memphis Grizzlies (7),0,SAS (-17000),MEM (+6625)
2016,NBA,Western Conf First Round,Apr 16 - Apr 25 2016,Oklahoma City Thunder (3),4,Dallas Mavericks (6),1,OKC (-3500),DAL (+1750)
2016,NBA,Western Conf First Round,Apr 17 - Apr 29 2016,Portland Trail Blazers (5),4,Los Angeles Clippers (4),2,LAC (-525),POR (+415)
2016,NBA,Eastern Conf Semifinals,May 2 - May 8 2016,Cleveland Cavaliers (1),4,Atlanta Hawks (4),0,CLE (-500),ATL (+400)
2016,NBA,Eastern Conf Semifinals,May 3 - May 15 2016,Toronto Raptors (2),4,Miami Heat (3),3,TOR (-145),MIA (+125)
2016,NBA,Western Conf Semifinals,May 1 - May 11 2016,Golden State Warriors (1),4,Portland Trail Blazers (5),1,GSW (-1600),POR (+1050)
2016,NBA,Western Conf Semifinals,Apr 30 - May 12 2016,Oklahoma City Thunder (3),4,San Antonio Spurs (2),2,SAS (-270),OKC (+230)
2016,NBA,Eastern Conf Finals,May 17 - May 27 2016,Cleveland Cavaliers (1),4,Toronto Raptors (2),2,CLE (-1350),TOR (+885)
2016,NBA,Western Conf Finals,May 16 - May 30 2016,Golden State Warriors (1),4,Oklahoma City Thunder (3),3,GSW (-430),OKC (+345)
2016,NBA,Finals,Jun 2 - Jun 19 2016,Cleveland Cavaliers (1),4,Golden State Warriors (1),3,GSW (-220),CLE (+180)
2015,NBA,Eastern Conf First Round,Apr 19 - May 1 2015,Atlanta Hawks (1),4,Brooklyn Nets (8),2,ATL (-1350),BRK (+900)
2015,NBA,Eastern Conf First Round,Apr 19 - Apr 26 2015,Cleveland Cavaliers (2),4,Boston Celtics (7),0,CLE (-5000),BOS (+2100)
2015,NBA,Eastern Conf First Round,Apr 18 - Apr 30 2015,Chicago Bulls (3),4,Milwaukee Bucks (6),2,CHI (-950),MIL (+700)
2015,NBA,Eastern Conf First Round,Apr 18 - Apr 26 2015,Washington Wizards (5),4,Toronto Raptors (4),0,TOR (-175),WAS (+155)
2015,NBA,Western Conf First Round,Apr 18 - Apr 25 2015,Golden State Warriors (1),4,New Orleans Pelicans (8),0,GSW (-3000),NOP (+1500)
2015,NBA,Western Conf First Round,Apr 18 - Apr 28 2015,Houston Rockets (2),4,Dallas Mavericks (7),1,HOU (-260),DAL (+220)
2015,NBA,Western Conf First Round,Apr 19 - May 2 2015,Los Angeles Clippers (3),4,San Antonio Spurs (6),3,SAS (-180),LAC (+160)
2015,NBA,Western Conf First Round,Apr 19 - Apr 29 2015,Memphis Grizzlies (5),4,Portland Trail Blazers (4),1,MEM (-225),POR (+195)
2015,NBA,Eastern Conf Semifinals,May 4 - May 14 2015,Cleveland Cavaliers (2),4,Chicago Bulls (3),2,CLE (-240),CHI (+200)
2015,NBA,Eastern Conf Semifinals,May 3 - May 15 2015,Atlanta Hawks (1),4,Washington Wizards (5),2,ATL (-245),WAS (+205)
2015,NBA,Western Conf Semifinals,May 4 - May 17 2015,Houston Rockets (2),4,Los Angeles Clippers (3),3,HOU (-150),LAC (+130)
2015,NBA,Western Conf Semifinals,May 3 - May 15 2015,Golden State Warriors (1),4,Memphis Grizzlies (5),2,GSW (-1000),MEM (+725)
2015,NBA,Eastern Conf Finals,May 20 - May 26 2015,Cleveland Cavaliers (2),4,Atlanta Hawks (1),0,CLE (-190),ATL (+165)
2015,NBA,Western Conf Finals,May 19 - May 27 2015,Golden State Warriors (1),4,Houston Rockets (2),1,GSW (-880),HOU (+665)
2015,NBA,Finals,Jun 4 - Jun 16 2015,Golden State Warriors (1),4,Cleveland Cavaliers (2),2,GSW (-220),CLE (+190)
2014,NBA,Eastern Conf First Round,Apr 19 - May 3 2014,Indiana Pacers (1),4,Atlanta Hawks (8),3,IND (-600),ATL (+440)
2014,NBA,Eastern Conf First Round,Apr 20 - Apr 28 2014,Miami Heat (2),4,Charlotte Bobcats (7),0,MIA (-2500),CHA (+1000)
2014,NBA,Eastern Conf First Round,Apr 19 - May 4 2014,Brooklyn Nets (6),4,Toronto Raptors (3),3,BRK (-130),TOR (+110)
2014,NBA,Eastern Conf First Round,Apr 20 - Apr 29 2014,Washington Wizards (5),4,Chicago Bulls (4),1,CHI (-180),WAS (+160)
2014,NBA,Western Conf First Round,Apr 20 - May 4 2014,San Antonio Spurs (1),4,Dallas Mavericks (8),3,SAS (-875),DAL (+585)
2014,NBA,Western Conf First Round,Apr 19 - May 3 2014,Oklahoma City Thunder (2),4,Memphis Grizzlies (7),3,OKC (-500),MEM (+375)
2014,NBA,Western Conf First Round,Apr 19 - May 3 2014,Los Angeles Clippers (3),4,Golden State Warriors (6),3,LAC (-400),GSW (+285)
2014,NBA,Western Conf First Round,Apr 20 - May 2 2014,Portland Trail Blazers (5),4,Houston Rockets (4),2,HOU (-200),POR (+170)
2014,NBA,Eastern Conf Semifinals,May 5 - May 15 2014,Indiana Pacers (1),4,Washington Wizards (5),2,IND (-165),WAS (+145)
2014,NBA,Eastern Conf Semifinals,May 6 - May 14 2014,Miami Heat (2),4,Brooklyn Nets (6),1,MIA (-620),BRK (+450)
2014,NBA,Western Conf Semifinals,May 6 - May 14 2014,San Antonio Spurs (1),4,Portland Trail Blazers (5),1,SAS (-410),POR (+320)
2014,NBA,Western Conf Semifinals,May 5 - May 15 2014,Oklahoma City Thunder (2),4,Los Angeles Clippers (3),2,OKC (-205),LAC (+175)
2014,NBA,Eastern Conf Finals,May 18 - May 30 2014,Miami Heat (2),4,Indiana Pacers (1),2,MIA (-380),IND (+300)
2014,NBA,Western Conf Finals,May 19 - May 31 2014,San Antonio Spurs (1),4,Oklahoma City Thunder (2),2,SAS (-245),OKC (+205)
2014,NBA,Finals,Jun 5 - Jun 15 2014,San Antonio Spurs (1),4,Miami Heat (2),1,SAS (-155),MIA (+135)
2013,NBA,Eastern Conf First Round,Apr 21 - Apr 28 2013,Miami Heat (1),4,Milwaukee Bucks (8),0,MIA (-20000),MIL (+7500)
2013,NBA,Eastern Conf First Round,Apr 20 - May 3 2013,New York Knicks (2),4,Boston Celtics (7),2,NYK (-410),BOS (+320)
2013,NBA,Eastern Conf First Round,Apr 21 - May 3 2013,Indiana Pacers (3),4,Atlanta Hawks (6),2,IND (-380),ATL (+300)
2013,NBA,Eastern Conf First Round,Apr 20 - May 4 2013,Chicago Bulls (5),4,Brooklyn Nets (4),3,BRK (-145),CHI (+125)
2013,NBA,Western Conf First Round,Apr 21 - May 3 2013,Oklahoma City Thunder (1),4,Houston Rockets (8),2,OKC (-1900),HOU (+875)
2013,NBA,Western Conf First Round,Apr 21 - Apr 28 2013,San Antonio Spurs (2),4,Los Angeles Lakers (7),0,SAS (-1000),LAL (+650)
2013,NBA,Western Conf First Round,Apr 20 - May 2 2013,Golden State Warriors (6),4,Denver Nuggets (3),2,DEN (-460),GSW (+355)
2013,NBA,Western Conf First Round,Apr 20 - May 3 2013,Memphis Grizzlies (5),4,Los Angeles Clippers (4),2,LAC (-180),MEM (+160)
2013,NBA,Eastern Conf Semifinals,May 6 - May 15 2013,Miami Heat (1),4,Chicago Bulls (5),1,MIA (-3000),CHI (+1100)
2013,NBA,Eastern Conf Semifinals,May 5 - May 18 2013,Indiana Pacers (3),4,New York Knicks (2),2,NYK (-190),IND (+165)
2013,NBA,Western Conf Semifinals,May 5 - May 15 2013,Memphis Grizzlies (5),4,Oklahoma City Thunder (1),1,MEM (-127),OKC (+107)
2013,NBA,Western Conf Semifinals,May 6 - May 16 2013,San Antonio Spurs (2),4,Golden State Warriors (6),2,SAS (-950),GSW (+625)
2013,NBA,Eastern Conf Finals,May 22 - Jun 3 2013,Miami Heat (1),4,Indiana Pacers (3),3,MIA (-850),IND (+575)
2013,NBA,Western Conf Finals,May 19 - May 27 2013,San Antonio Spurs (2),4,Memphis Grizzlies (5),0,SAS (-145),MEM (+125)
2013,NBA,Finals,Jun 6 - Jun 20 2013,Miami Heat (1),4,San Antonio Spurs (2),3,MIA (-220),SAS (+180)
2012,NBA,Eastern Conf First Round,Apr 28 - May 10 2012,Philadelphia 76ers (8),4,Chicago Bulls (1),2,CHI (-1400),PHI (+900)
2012,NBA,Eastern Conf First Round,Apr 28 - May 9 2012,Miami Heat (2),4,New York Knicks (7),1,MIA (-900),NYK (+650)
2012,NBA,Eastern Conf First Round,Apr 28 - May 8 2012,Indiana Pacers (3),4,Orlando Magic (6),1,IND (-800),ORL (+600)
2012,NBA,Eastern Conf First Round,Apr 29 - May 10 2012,Boston Celtics (4),4,Atlanta Hawks (5),2,BOS (-190),ATL (+160)
2012,NBA,Western Conf First Round,Apr 29 - May 7 2012,San Antonio Spurs (1),4,Utah Jazz (8),0,SAS (-2500),UTA (+1450)
2012,NBA,Western Conf First Round,Apr 28 - May 5 2012,Oklahoma City Thunder (2),4,Dallas Mavericks (7),0,OKC (-500),DAL (+400)
2012,NBA,Western Conf First Round,Apr 29 - May 12 2012,Los Angeles Lakers (3),4,Denver Nuggets (6),3,LAL (-240),DEN (+195)
2012,NBA,Western Conf First Round,Apr 29 - May 13 2012,Los Angeles Clippers (5),4,Memphis Grizzlies (4),3,MEM (-200),LAC (+170)
2012,NBA,Eastern Conf Semifinals,May 13 - May 24 2012,Miami Heat (2),4,Indiana Pacers (3),2,MIA (-950),IND (+625)
2012,NBA,Eastern Conf Semifinals,May 12 - May 26 2012,Boston Celtics (4),4,Philadelphia 76ers (8),3,BOS (-205),PHI (+175)
2012,NBA,Western Conf Semifinals,May 15 - May 20 2012,San Antonio Spurs (1),4,Los Angeles Clippers (5),0,SAS (-2500),LAC (+1000)
2012,NBA,Western Conf Semifinals,May 14 - May 21 2012,Oklahoma City Thunder (2),4,Los Angeles Lakers (3),1,OKC (-450),LAL (+350)
2012,NBA,Western Conf Finals,May 27 - Jun 6 2012,Oklahoma City Thunder (2),4,San Antonio Spurs (1),2,SAS (-205),OKC (+175)
2012,NBA,Eastern Conf Finals,May 28 - Jun 9 2012,Miami Heat (2),4,Boston Celtics (4),3,MIA (-530),BOS (+400)
2012,NBA,Finals,Jun 12 - Jun 21 2012,Miami Heat (2),4,Oklahoma City Thunder (2),1,OKC (-175),MIA (+155)
2011,NBA,Eastern Conf First Round,Apr 16 - Apr 26 2011,Chicago Bulls (1),4,Indiana Pacers (8),1,CHI (-4000),IND (+1200)
2011,NBA,Eastern Conf First Round,Apr 16 - Apr 27 2011,Miami Heat (2),4,Philadelphia 76ers (7),1,MIA (-2500),PHI (+1000)
2011,NBA,Eastern Conf First Round,Apr 17 - Apr 24 2011,Boston Celtics (3),4,New York Knicks (6),0,BOS (-350),NYK (+250)
2011,NBA,Eastern Conf First Round,Apr 16 - Apr 28 2011,Atlanta Hawks (5),4,Orlando Magic (4),2,ORL (-650),ATL (+425)
2011,NBA,Western Conf First Round,Apr 17 - Apr 29 2011,Memphis Grizzlies (8),4,San Antonio Spurs (1),2,SAS (-390),MEM (+280)
2011,NBA,Western Conf First Round,Apr 17 - Apr 28 2011,Los Angeles Lakers (2),4,New Orleans Hornets (7),2,LAL (-2500),NOH (+1000)
2011,NBA,Western Conf First Round,Apr 16 - Apr 28 2011,Dallas Mavericks (3),4,Portland Trail Blazers (6),2,DAL (-200),POR (+160)
2011,NBA,Western Conf First Round,Apr 17 - Apr 27 2011,Oklahoma City Thunder (4),4,Denver Nuggets (5),1,OKC (-220),DEN (+170)
2011,NBA,Eastern Conf Semifinals,May 2 - May 12 2011,Chicago Bulls (1),4,Atlanta Hawks (5),2,CHI (-800),ATL (+550)
2011,NBA,Eastern Conf Semifinals,May 1 - May 11 2011,Miami Heat (2),4,Boston Celtics (3),1,MIA (-190),BOS (+165)
2011,NBA,Western Conf Semifinals,May 2 - May 8 2011,Dallas Mavericks (3),4,Los Angeles Lakers (2),0,LAL (-360),DAL (+280)
2011,NBA,Western Conf Semifinals,May 1 - May 15 2011,Oklahoma City Thunder (4),4,Memphis Grizzlies (8),3,OKC (-350),MEM (+275)
2011,NBA,Eastern Conf Finals,May 15 - May 26 2011,Miami Heat (2),4,Chicago Bulls (1),1,MIA (-190),CHI (+160)
2011,NBA,Western Conf Finals,May 17 - May 25 2011,Dallas Mavericks (3),4,Oklahoma City Thunder (4),1,DAL (-240),OKC (+200)
2011,NBA,Finals,May 31 - Jun 12 2011,Dallas Mavericks (3),4,Miami Heat (2),2,MIA (-175),DAL (+155)
2010,NBA,Eastern Conf First Round,Apr 17 - Apr 27 2010,Cleveland Cavaliers (1),4,Chicago Bulls (8),1,CLE (-3000),CHI (+1400)
2010,NBA,Eastern Conf First Round,Apr 18 - Apr 26 2010,Orlando Magic (2),4,Charlotte Bobcats (7),0,ORL (-1000),CHA (+650)
2010,NBA,Eastern Conf First Round,Apr 17 - May 2 2010,Atlanta Hawks (3),4,Milwaukee Bucks (6),3,ATL (-750),MIL (+550)
2010,NBA,Eastern Conf First Round,Apr 17 - Apr 27 2010,Boston Celtics (4),4,Miami Heat (5),1,BOS (-175),MIA (+155)
2010,NBA,Western Conf First Round,Apr 18 - Apr 30 2010,Los Angeles Lakers (1),4,Oklahoma City Thunder (8),2,LAL (-800),OKC (+600)
2010,NBA,Western Conf First Round,Apr 18 - Apr 29 2010,San Antonio Spurs (7),4,Dallas Mavericks (2),2,DAL (-150),SAS (+130)
2010,NBA,Western Conf First Round,Apr 18 - Apr 29 2010,Phoenix Suns (3),4,Portland Trail Blazers (6),2,PHO (-500),POR (+400)
2010,NBA,Western Conf First Round,Apr 17 - Apr 30 2010,Utah Jazz (5),4,Denver Nuggets (4),2,DEN (-175),UTA (+150)
2010,NBA,Eastern Conf Semifinals,May 1 - May 13 2010,Boston Celtics (4),4,Cleveland Cavaliers (1),2,CLE (-480),BOS (+380)
2010,NBA,Eastern Conf Semifinals,May 4 - May 10 2010,Orlando Magic (2),4,Atlanta Hawks (3),0,ORL (-800),ATL (+550)
2010,NBA,Western Conf Semifinals,May 2 - May 10 2010,Los Angeles Lakers (1),4,Utah Jazz (5),0,LAL (-420),UTA (+310)
2010,NBA,Western Conf Semifinals,May 3 - May 9 2010,Phoenix Suns (3),4,San Antonio Spurs (7),0,PHO (-140),SAS (+120)
2010,NBA,Western Conf Finals,May 17 - May 29 2010,Los Angeles Lakers (1),4,Phoenix Suns (3),2,LAL (-340),PHO (+270)
2010,NBA,Eastern Conf Finals,May 16 - May 28 2010,Boston Celtics (4),4,Orlando Magic (2),2,ORL (-260),BOS (+220)
2010,NBA,Finals,Jun 3 - Jun 17 2010,Los Angeles Lakers (1),4,Boston Celtics (4),3,LAL (-190),BOS (+165)
2009,NBA,Eastern Conf First Round,Apr 18 - Apr 26 2009,Cleveland Cavaliers (1),4,Detroit Pistons (8),0,CLE (-5000),DET (+3000)
2009,NBA,Eastern Conf First Round,Apr 18 - May 2 2009,Boston Celtics (2),4,Chicago Bulls (7),3,BOS (-545),CHI (+405)
2009,NBA,Eastern Conf First Round,Apr 19 - Apr 30 2009,Orlando Magic (3),4,Philadelphia 76ers (6),2,ORL (-1400),PHI (+800)
2009,NBA,Eastern Conf First Round,Apr 19 - May 3 2009,Atlanta Hawks (4),4,Miami Heat (5),3,ATL (-145),MIA (+125)
2009,NBA,Western Conf First Round,Apr 19 - Apr 27 2009,Los Angeles Lakers (1),4,Utah Jazz (8),1,LAL (-2000),UTA (+1200)
2009,NBA,Western Conf First Round,Apr 19 - Apr 29 2009,Denver Nuggets (2),4,New Orleans Hornets (7),1,DEN (-210),NOH (+175)
2009,NBA,Western Conf First Round,Apr 18 - Apr 28 2009,Dallas Mavericks (6),4,San Antonio Spurs (3),1,SAS (-190),DAL (+160)
2009,NBA,Western Conf First Round,Apr 18 - Apr 30 2009,Houston Rockets (5),4,Portland Trail Blazers (4),2,POR (-175),HOU (+150)
2009,NBA,Western Conf Semifinals,May 4 - May 17 2009,Los Angeles Lakers (1),4,Houston Rockets (5),3,LAL (-1100),HOU (+700)
2009,NBA,Western Conf Semifinals,May 3 - May 13 2009,Denver Nuggets (2),4,Dallas Mavericks (6),1,DEN (-240),DAL (+200)
2009,NBA,Eastern Conf Semifinals,May 5 - May 11 2009,Cleveland Cavaliers (1),4,Atlanta Hawks (4),0,CLE (-2450),ATL (+1000)
2009,NBA,Eastern Conf Semifinals,May 4 - May 17 2009,Orlando Magic (3),4,Boston Celtics (2),3,BOS (-120),ORL (+100)
2009,NBA,Eastern Conf Finals,May 20 - May 30 2009,Orlando Magic (3),4,Cleveland Cavaliers (1),2,CLE (-700),ORL (+550)
2009,NBA,Western Conf Finals,May 19 - May 29 2009,Los Angeles Lakers (1),4,Denver Nuggets (2),2,LAL (-250),DEN (+210)
2009,NBA,Finals,Jun 4 - Jun 14 2009,Los Angeles Lakers (1),4,Orlando Magic (3),1,LAL (-280),ORL (+240)
2008,NBA,Eastern Conf First Round,Apr 20 - May 4 2008,Boston Celtics (1),4,Atlanta Hawks (8),3,BOS (-8000),ATL (+4000)
2008,NBA,Eastern Conf First Round,Apr 20 - May 1 2008,Detroit Pistons (2),4,Philadelphia 76ers (7),2,DET (-1300),PHI (+850)
2008,NBA,Eastern Conf First Round,Apr 20 - Apr 28 2008,Orlando Magic (3),4,Toronto Raptors (6),1,ORL (-310),TOR (+260)
2008,NBA,Eastern Conf First Round,Apr 19 - May 2 2008,Cleveland Cavaliers (4),4,Washington Wizards (5),2,CLE (-115),WAS (-105)
2008,NBA,Western Conf First Round,Apr 20 - Apr 28 2008,Los Angeles Lakers (1),4,Denver Nuggets (8),0,LAL (-560),DEN (+460)
2008,NBA,Western Conf First Round,Apr 19 - Apr 29 2008,New Orleans Hornets (2),4,Dallas Mavericks (7),1,NOH (-145),DAL (+125)
2008,NBA,Western Conf First Round,Apr 19 - Apr 29 2008,San Antonio Spurs (3),4,Phoenix Suns (6),1,SAS (-140),PHO (+120)
2008,NBA,Western Conf First Round,Apr 19 - May 2 2008,Utah Jazz (4),4,Houston Rockets (5),2,UTA (-215),HOU (+185)
2008,NBA,Eastern Conf Semifinals,May 6 - May 18 2008,Boston Celtics (1),4,Cleveland Cavaliers (4),3,BOS (-900),CLE (+600)
2008,NBA,Eastern Conf Semifinals,May 3 - May 13 2008,Detroit Pistons (2),4,Orlando Magic (3),1,DET (-305),ORL (+255)
2008,NBA,Western Conf Semifinals,May 4 - May 16 2008,Los Angeles Lakers (1),4,Utah Jazz (4),2,LAL (-350),UTA (+290)
